Instrument,Company Common Name,Deal Permid,Loan Dates: Announcement Date,Loan Dates: Financial Close Date of Loan Package,Maturity: Maturity Date,Loan Type,Use of Proceeds,Loan Repayment: Type,Loans Issuer/Borrower Ultimate Parent Name Full,Loan Package Amount,"Number of all Managers, inc. Int'l Co-Managers","All Managers, inc. Int'l Co-Managers, Parent (Full Name)","All Managers, inc. Int'l Co-Managers, Parent (Code)",All Loans Manager Roles,Loan Manager Commitment Amount
4296555324,,154083555713,2006-11-02,2006-12-01,2010-02-18,Revolving Credit Facility,Refinance/Retiring Fixed Income Debt,Bullet,Cargill Inc,1462000000.0,8,Mizuho Financial Group,MIZUHO-FINAN,Lead Manager,0.0
4296555324,,154083557250,2013-01-15,2013-01-15,2018-01-15,Term Loan,Refinance/Retiring Acquisition Debt,,Cargill Inc,120000000.0,2,NatWest,NATWEST-GRP,Arranger,0.0
4296555324,,154083558210,2012-07-16,2012-07-16,2013-07-16,Revolving Credit Facility,Pay Fees And Expenses,,Cargill Inc,250000000.0,16,Barclays,BARCLAYS-CAP,Arranger,0.0
4296555324,,154083559040,2012-09-29,2012-10-26,2013-10-25,364 Day Revolver,General Corporate Purpose,,Cargill Inc,5000000000.0,4,CIBC World Markets Inc,CIBC-WORLD,Arranger,0.0
4296555324,,154083559041,2012-09-29,2012-10-26,2017-10-25,Revolving Credit Facility,Refinance/Retiring Fixed Income Debt,,Cargill Inc,5000000000.0,22,Credit Agricole Corporate & Investment Bank,CREDIT-AGRI-CIB,Arranger,0.0
4296555324,,154083570712,2013-10-24,2013-10-24,2018-10-24,Revolving Credit Facility,Refinance/Retiring Acquisition Debt,,Cargill Inc,5000000000.0,10,Sumitomo Mitsui Financial Group Inc,SUM-MIT-FIN-GRP,Arranger,0.0
4296555324,,154083570713,2013-10-24,2013-10-24,2014-10-23,364 Day Revolver,Pay Fees And Expenses,,Cargill Inc,5000000000.0,1,JP Morgan & Co Inc,JPM,Facility Agent,0.0
4296555324,,154083573020,2013-02-07,2013-03-19,2014-03-19,Revolving Credit Facility,General Corporate Purpose,Bullet,Cargill Inc,1250000000.0,10,Deutsche Bank,DEUTSCHE-BANK,Lead Manager,0.0
4296555324,,154083578008,2013-02-07,2013-03-19,2014-03-19,Revolving Credit Facility,Refinance/Retiring Bank Debt,Bullet,Cargill Inc,1250000000.0,12,Mizuho Financial Group,MIZUHO-FINAN,Lead Manager,0.0
4296555324,,154083585721,2014-02-06,2014-03-18,2015-03-18,364 Day Revolver,General Corporate Purpose,,Cargill Inc,1000000000.0,19,Mizuho Financial Group,MIZUHO-FINAN,Lead Manager,0.0
4296555324,,154083586234,2014-02-06,2014-03-18,2015-03-18,364 Day Revolver,Refinance/Retiring Bank Debt,,Cargill Inc,1000000000.0,3,Credit Agricole Corporate & Investment Bank,CREDIT-AGRI-CIB,Lead Manager,0.0
4296555324,,154083587159,2014-05-22,2014-05-22,2019-05-22,Revolving Credit Facility,General Corporate Purpose,,CHS Inc,1300000000.0,6,Mitsubishi UFJ Financial Group,MITSUBISHI-UFJ,Lead Manager,0.0
4296555324,,154083587160,2014-05-22,2014-05-22,2019-05-22,Term Loan A,Refinancing,,CHS Inc,1300000000.0,1,NatWest,NATWEST-GRP,Lead Manager,0.0
4296555324,,154083587161,2014-05-22,2014-05-22,2021-05-22,Term Loan A,General Corporate Purpose,,CHS Inc,1300000000.0,10,UBS,UBS-BANK,Lead Manager,0.0
4296555324,,154083587876,2014-07-03,2014-07-03,2020-07-03,Term Loan B,Refinancing,,Cargill Inc,229156856.073494,2,UBS,UBS-BANK,Lead Manager,0.0
4296555324,,154083593242,2015-03-17,2015-03-17,2016-03-17,Revolving Credit Facility,Refinancing,Bullet,Cargill Inc,1000000000.0,6,UniCredit,UNICREDIT-SPA,Co-Lead Manager,0.0
4296555324,,154083595377,2014-09-29,2014-10-24,2015-10-23,364 Day Revolver,Standby/CP Support,,Cargill Inc,5000000000.0,22,Westpac Banking Corp,WESTPAC,Co-Lead Manager,0.0
4296555324,,154083595378,2014-09-29,2014-10-24,2019-10-24,Revolving Credit Facility,Refinancing,,Cargill Inc,5000000000.0,10,Sumitomo Mitsui Financial Group Inc,SUM-MIT-FIN-GRP,Manager,0.0
4296555324,,154083598339,2014-07-03,2014-07-03,2019-07-03,Term Loan A,Standby/CP Support,,Cargill Inc,229156856.073494,24,Oddo BHF SCA,ODDO-BHF-SCA,Co-Manager,0.0
4296555324,,154083598340,2014-07-03,2014-07-03,2019-07-03,Revolving Credit Facility,General Corporate Purpose,,Cargill Inc,229156856.073494,3,UBS,UBS-BANK,Co-Manager,0.0
4296555324,,154083598341,2014-07-03,2014-07-03,2019-07-03,Capital Expenditure Facility,General Corporate Purpose,,Cargill Inc,229156856.073494,5,Landesbank Hessen-Thueringen Girozentrale,HESSEN-T,Co-Manager,0.0
4296555324,,154083601892,2015-05-25,2015-06-16,2022-06-16,Term Loan B,Refinance/Retiring Bank Debt,Bullet,Cargill Inc,244036841.690939,2,SBI Holdings Inc,SBI-HOL,Co-Manager,0.0
4296555324,,154083601893,2015-05-25,2015-06-16,2021-06-16,Term Loan A,General Corporate Purpose,Amortizing,Cargill Inc,244036841.690939,2,Societe Generale SA,SOC-GEN,Co-Manager,0.0
4296555324,,154083602739,2015-05-25,2015-06-16,2021-06-16,Revolving Credit Facility,Refinance/Retiring Bank Debt,,Cargill Inc,244036841.690939,6,Portigon AG,PORTIGON,Co-Manager,0.0
4296555324,,154083602740,2015-05-25,2015-06-16,2021-06-16,Capital Expenditure Facility,Working Capital,Amortizing,Cargill Inc,244036841.690939,2,Bayerische Landesbank Girozentrale,BAYER-LANDES,Provider,0.0
4296555324,,154083602956,2015-09-28,2015-10-23,2020-10-08,Revolving Credit Facility,General Corporate Purpose,,Cargill Inc,5000000000.0,2,BMO Capital Markets,BMO-CAPITAL,Provider,0.0
4296555324,,154083602957,2015-09-28,2015-10-23,2016-10-22,364 Day Revolver,Working Capital,,Cargill Inc,5000000000.0,9,Nordea,NORDEA-BANK,Provider,0.0
4296555324,,154083604562,2014-05-21,2014-05-21,2017-05-21,Revolving Credit Facility,Working Capital,,Sugar Growers & Refiners Inc,163300000.0,6,Mizuho Financial Group,MIZUHO-FINAN,Provider,0.0
4296555324,,154083605381,2014-09-12,2014-09-12,2017-09-12,Revolving Credit Facility,Refinancing,Bullet,Cargill Inc,121999710.8155,6,European Investment Bank,EIB,Provider,0.0
4296555324,,154083605382,2014-09-12,2014-09-12,2017-09-12,Guarantee Facility,General Corporate Purpose,Bullet,Cargill Inc,121999710.8155,2,Deutsche Bank,DEUTSCHE-BANK,Provider,0.0
4296555324,,154083605383,2014-09-12,2014-09-12,2017-09-12,Term Loan,General Corporate Purpose,Bullet,Cargill Inc,121999710.8155,10,Aozora Bank Ltd,AOZORA-BANK,Provider,0.0
4296555324,,154083619975,2016-03-10,2016-03-10,2017-03-10,Revolving Credit Facility,General Corporate Purpose,,Cargill Inc,1000000000.0,10,ING,ING,Provider,0.0
4296555324,,154083622730,2016-10-21,2016-10-21,2017-10-20,364 Day Revolver,General Corporate Purpose,,Cargill Inc,5000000000.0,6,Cooperatieve Rabobank UA,RABOBANK,Provider,0.0
4296555324,,154083622731,2016-10-21,2016-10-21,2021-10-21,Revolving Credit Facility,General Corporate Purpose,,Cargill Inc,5000000000.0,5,Barclays,BARCLAYS-CAP,Underwriter,0.0
4296555324,,154083627230,2016-03-10,2016-03-10,2017-03-10,Revolving Credit Facility,Refinance/Retiring Bank Debt,,Cargill Inc,1000000000.0,6,Goldman Sachs & Co,GS,Advisor To Borrower,0.0
4296555324,,154083636928,2017-03-01,2017-03-01,2018-03-10,Revolving Credit Facility,Working Capital,,Cargill Inc,1000000000.0,2,European Investment Bank,EIB,Provider,0.0
4296555324,,154083639828,2017-04-20,,2027-04-20,Term Loan,General Corporate Purpose,,Cargill Inc,74000000.0,9,Deutsche Bank,DEUTSCHE-BANK,Arranger,0.0
4296555324,,154083649258,2017-10-20,2017-10-20,2018-10-19,364 Day Revolver,General Corporate Purpose,,Cargill Inc,1250000000.0,10,JP Morgan & Co Inc,JPM,Arranger,0.0
4296555324,,154083663234,2017-12-16,2017-12-22,2022-12-22,Revolving Credit Facility,Working Capital,,PTT Global Chemical PCL,65000000.0,9,UBS,UBS-BANK,Arranger,0.0
4296555324,,154083663235,2017-12-16,2017-12-22,2022-12-22,Term Loan A,General Corporate Purpose,,PTT Global Chemical PCL,65000000.0,6,Citi,CITI,Administration Agent,0.0
4296555324,,154085062411,2018-03-07,2018-03-07,2019-03-07,Revolving Credit Facility,Refinance/Retiring Bank Debt,,Cargill Inc,1000000000.0,8,BofA Securities Inc,BOFA-SEC-INC,Syndication Agent,0.0
4296555324,,154085166024,2018-07-20,2018-07-20,2023-04-25,Term Loan,General Corporate Purpose,,Cargill Inc,242558466.725067,1,NatWest,NATWEST-GRP,Lender,0.0
4296555324,,154085251296,2018-10-19,2018-10-19,2019-10-18,364 Day Revolver,Refinancing,,Cargill Inc,1250000000.0,2,NatWest,NATWEST-GRP,Lender,0.0
4296555324,,154085367222,2019-03-06,2019-03-06,2020-03-06,Revolving Credit Facility,General Corporate Purpose,,Cargill Inc,1000000000.0,4,BMO Capital Markets,BMO-CAPITAL,Lender,0.0
